State,City,Locations,Courts
AL,Huntsville,19,68
AL,Birmingham,18,63
AL,Mobile,15,60
AL,Trussville,9,41
AL,Vestavia Hills,6,36
AL,Decatur,6,17
AL,Opelika,6,32
AL,Hoover,6,30
AL,Alabaster,5,19
AL,Athens,5,30
AL,Foley,5,19
AL,Dothan,5,19
AL,Enterprise,5,28
AL,Spanish Fort,4,13
AL,Oxford,4,26
AL,Florence,4,28
AL,Tuscaloosa,4,12
AL,Fairhope,4,16
AL,Gulf Shores,4,21
AL,Madison,4,34
AL,Montgomery,3,5
AL,Pelham,3,15
AL,Auburn,3,20
AL,Mountain Brook,3,5
AL,Jasper,3,26
AL,Homewood,3,11
AL,Orange Beach,2,8
AL,Pinson,2,34
AL,Millbrook,2,24
AL,Helena,2,5
AL,Pell City,2,12
AL,Ozark,2,12
AL,Northport,2,4
AL,Albertville,2,15
AL,Jacksonville,2,4
AL,Prattville,2,21
AL,Gardendale,2,13
AL,Anniston,2,4
AL,Cullman,2,6
AL,Guntersville,2,9
AL,Moulton,1,3
AL,Hazel Green,1,2
AL,Piedmont,1,2
AL,Calera,1,3
AL,Dauphin Island,1,2
AL,Lillian,1,4
AL,Rainbow City,1,2
AL,Headland,1,2
AL,Rainsville,1,6
AL,Bay Minette,1,3
AL,Irvington,1,3
AL,Hartselle,1,2
AL,Chelsea,1,3
AL,Lincoln,1,2
AL,Boaz,1,16
AL,Waterloo,1,2
AL,Oneonta,1,3
AL,Opp,1,2
AL,Langston,1,1
AL,Theodore,1,2
AL,Rogersville,1,3
AL,Bonnie Doone,1,1
AL,Odenville,1,3
AL,Ardmore,1,2
AL,Muscle Shoals,1,6
AL,Chatom,1,2
AL,Brewton,1,2
AL,Toney,1,3
AL,Elberta,1,3
AL,Satsuma,1,2
AL,Bessemer,1,2
AL,Talladega,1,3
AL,Harpersville,1,3
AL,Wetumpka,1,6
AL,Killen,1,3
AL,Gadsden,1,2
AL,Eastaboga,1,1
AL,Owens Cross Roads,1,3
AL,New Market,1,3
AL,Eufaula,1,5
AL,Daphne,1,12
AL,Meridianville,1,2
AL,East Brewton,1,4
AL,Henagar,1,2
AL,Ashford,1,4
AL,Clanton,1,2
AL,Scottsboro,1,4
AL,Dadeville,1,4
AL,Centre,1,6
AL,Arley,1,2
AK,Anchorage,23,97
AK,Fairbanks,3,16
AK,Homer,3,9
AK,Kenai,2,5
AK,Kodiak,2,4
AK,Sitka,2,3
AK,Wasilla,2,3
AK,Craig,1,2
AK,Ketchikan,1,6
AK,Klawock,1,2
AK,Metlakatla,1,2
AK,Palmer,1,8
AK,Skagway,1,2
AK,Soldotna,1,3
AK,Sterling,1,2
AK,Valdez,1,3
AK,Willow,1,8
AZ,Phoenix,35,158
AZ,Mesa,33,258
AZ,Tucson,31,224
AZ,Scottsdale,28,139
AZ,Apache Junction,11,39
AZ,Peoria,11,48
AZ,Yuma,11,58
AZ,Chandler,10,61
AZ,Gilbert,10,65
AZ,Tempe,10,51
AZ,Flagstaff,9,40
AZ,Goodyear,9,68
AZ,Prescott,9,61
AZ,Sahuarita,9,60
AZ,Casa Grande,8,71
AZ,Surprise,8,91
AZ,Glendale,7,51
AZ,Green Valley,7,48
AZ,Buckeye,6,57
AZ,Oro Valley,6,39
AZ,Sedona,6,24
AZ,Bullhead City,5,21
AZ,Gold Canyon,5,24
AZ,Lake Havasu City,5,30
AZ,Maricopa,5,25
AZ,Avondale,4,14
AZ,Florence,4,30
AZ,Sun City West,4,40
AZ,Camp Verde,3,8
AZ,Fountain Hills,3,12
AZ,Marana,3,9
AZ,Paradise Valley,3,24
AZ,Prescott Valley,3,16
AZ,Queen Creek,3,36
AZ,Rio Verde,3,18
AZ,Sun City,3,39
AZ,United States,3,3
AZ,Anthem,2,12
AZ,Benson,2,2
AZ,Cherry,2,4
AZ,Cottonwood,2,16
AZ,Eloy,2,18
AZ,New River,2,20
AZ,Pinetop-Lakeside,2,5
AZ,Show Low,2,8
AZ,Sierra Vista,2,11
AZ,Sun Lakes,2,14
AZ,Vail,2,10
AZ,Wellton,2,8
AZ,Wickenburg,2,16
AZ,Ajo,1,2
AZ,Arivaca,1,3
AZ,Arrowhead Ranch,1,2
AZ,Bisbee,1,2
AZ,Chino Valley,1,4
AZ,Clarkdale,1,1
AZ,Congress,1,1
AZ,Douglas,1,4
AZ,El Mirage,1,26
AZ,Happy Jack,1,3
AZ,Hondah,1,8
AZ,Kayenta,1,2
AZ,Kingman,1,4
AZ,Las Villas,1,6
AZ,Laveen,1,2
AZ,Liberty,1,8
AZ,Litchfield,1,2
AZ,Litchfield Park,1,3
AZ,Miami,1,3
AZ,Munds Park,1,8
AZ,Nogales,1,2
AZ,Oracle,1,24
AZ,Page,1,4
AZ,Parker,1,2
AZ,Payson,1,6
AZ,Pinnacle Peak Heights IV,1,4
AZ,Quartzsite,1,2
AZ,Safford,1,1
AZ,Salome,1,2
AZ,San Lucy Village,1,2
