state,pickleball_court_interest,pickleball_lessons_interest,pickleball_interest,pickleball_near_me_interest,pickleball_tournament_interest,ppa_tour_interest,avg_interest
AK,17,31.0,29,10,25,0.0,18.666666666666668
AL,19,25.0,36,28,39,14.0,26.833333333333332
AR,24,25.0,38,24,36,14.0,26.833333333333332
AZ,48,93.0,73,62,62,50.0,64.66666666666667
CA,29,56.0,49,34,32,21.0,36.833333333333336
CO,31,75.0,62,51,37,21.0,46.166666666666664
CT,25,75.0,50,33,24,7.0,35.666666666666664
DC,20,62.0,39,26,22,21.0,31.666666666666668
DE,23,68.0,50,46,44,0.0,38.5
FL,34,75.0,65,63,53,28.0,53.0
GA,26,43.0,44,36,29,21.0,33.166666666666664
HI,35,100.0,74,41,100,64.0,69.0
IA,27,25.0,41,26,27,14.0,26.666666666666668
ID,45,56.0,59,43,62,57.0,53.666666666666664
IL,22,56.0,42,39,22,14.0,32.5
IN,25,37.0,42,28,31,14.0,29.5
KS,28,37.0,47,34,34,42.0,37.0
KY,21,37.0,38,26,24,14.0,26.666666666666668
LA,18,18.0,30,18,25,7.0,19.333333333333332
MA,26,81.0,48,45,24,14.0,39.666666666666664
MD,20,50.0,39,29,29,14.0,30.166666666666668
ME,24,56.0,43,34,34,14.0,34.166666666666664
MI,26,43.0,43,44,31,14.0,33.5
MN,39,75.0,72,63,43,21.0,52.166666666666664
MO,25,50.0,49,39,36,21.0,36.666666666666664
MS,16,12.0,25,15,17,7.0,15.333333333333334
MT,30,31.0,34,18,32,21.0,27.666666666666668
NC,27,56.0,48,39,32,28.0,38.333333333333336
ND,24,12.0,28,18,18,0.0,16.666666666666668
NE,28,43.0,42,23,22,14.0,28.666666666666668
NH,28,62.0,49,40,37,21.0,39.5
NJ,27,68.0,48,44,25,14.0,37.666666666666664
NM,18,31.0,31,19,31,7.0,22.833333333333332
NV,25,56.0,45,33,36,35.0,38.333333333333336
NY,21,43.0,35,24,13,7.0,23.833333333333332
OH,23,37.0,39,34,25,14.0,28.666666666666668
OK,23,25.0,36,22,27,14.0,24.5
OR,29,50.0,51,28,41,14.0,35.5
PA,21,43.0,38,36,25,14.0,29.5
RI,21,75.0,41,35,22,0.0,32.333333333333336
SC,24,50.0,55,48,48,21.0,41.0
SD,27,0.0,36,15,36,21.0,22.5
TN,24,31.0,42,27,32,21.0,29.5
TX,28,31.0,42,33,22,21.0,29.5
UT,100,75.0,100,100,86,100.0,93.5
VA,23,43.0,41,33,25,14.0,29.833333333333332
VT,25,37.0,50,32,29,0.0,28.833333333333332
WA,35,56.0,46,34,39,28.0,39.666666666666664
WI,25,43.0,44,30,29,14.0,30.833333333333332
WV,17,12.0,26,15,24,14.0,18.0
WY,25,37.0,33,17,31,0.0,23.833333333333332
