Tournament Name,Status,Players,City,State,Raw Start Date,Start Date,is_large_tournament,is_major_tournament
PRAC Winter Open,Completed,25,Morrisville,PA,"Dec 30, 2024",2024-12-30,False,False
James Ignatowich Clinic in NYC,Completed,11,New York,NY,"Dec 29, 2024",2024-12-29,False,False
"""New Year, New You, Same Pickleball Addiction""",Completed,81,Clifton Park,NY,"Dec 29, 2024",2024-12-29,False,False
Pickle for a Purpose - Nevada Hands & Voices Charity Tournament 2024,Completed,80,Las Vegas,NV,"Dec 28, 2024",2024-12-28,False,False
Bloomfield Holiday Open,Completed,20,Bloomfield,CT,"Dec 28, 2024",2024-12-28,False,False
New Year's Dink & Bash,Completed,78,St Louis Park,MN,"Dec 28, 2024",2024-12-28,False,False
3rd Annual OPC New Year's Extravaganza,Completed,144,Springfield,MO,"Dec 28, 2024",2024-12-28,False,False
2024 Holiday Classic,Completed,101,Triadelphia,WV,"Dec 28, 2024",2024-12-28,False,False
QCTC Winter Games - $1k+ Prize Purse,Completed,2,Moline,IL,"Dec 28, 2024",2024-12-28,False,False
The Frozen Pickle,Completed,272,Lansing,MI,"Dec 28, 2024",2024-12-28,True,False
Life Time Oakbrook Ugly Sweater Tourney 2024,Completed,116,Oak Brook,IL,"Dec 27, 2024",2024-12-27,False,False
WinterMAX 2024,Completed,441,Cincinnati,OH,"Dec 27, 2024",2024-12-27,True,False
2nd Annual Legends Holiday Bash,Completed,204,Warrenton,VA,"Dec 27, 2024",2024-12-27,False,False
"""Ohio State Sports Medicine, Winter Round Robin""",Completed,162,Columbus,OH,"Dec 27, 2024",2024-12-27,False,False
2024 Vetta Sunset's Dink in the New Year,Completed,310,Sappington,MO,"Dec 27, 2024",2024-12-27,True,False
Holiday Showdown at Bounce,Completed,425,Malvern,PA,"Dec 27, 2024",2024-12-27,True,False
2024 Connecticut Pickleball Open,Completed,409,New Canaan,CT,"Dec 27, 2024",2024-12-27,True,False
TPP Christmas Grand Tournament,Completed,20,Vernon,CT,"Dec 22, 2024",2024-12-22,False,False
Ugly Sweater Fixed-Partner Round Robin,Completed,54,Richmond,CA,"Dec 22, 2024",2024-12-22,False,False
Holiday Mixed Doubles Match Up,Completed,21,Austin,TX,"Dec 22, 2024",2024-12-22,False,False
WPA DUPR World Championships Las Vegas,Completed,800,Las Vegas,NV,"Dec 21, 2024",2024-12-21,True,False
Holiday Pickleball Tournament,Completed,14,Cincinnati,OH,"Dec 21, 2024",2024-12-21,False,False
Christmas Dink-a-Bells Pickleball Tournament hosted by Indoor Pickleball Now,Completed,2,Fort Worth,TX,"Dec 21, 2024",2024-12-21,False,False
The Chicago Amateur Open @ Sure Shot Pickleball,Completed,258,Naperville,IL,"Dec 21, 2024",2024-12-21,True,False
Dink Holiday Smash,Completed,67,Huntersville,NC,"Dec 21, 2024",2024-12-21,False,False
Pickle All The Way,Completed,96,Midland,MI,"Dec 21, 2024",2024-12-21,False,False
Viking Pickleball Reindeer Roundup,Completed,76,Punta Gorda,FL,"Dec 21, 2024",2024-12-21,False,False
Addict Banger Ball: 4.0-4.5 Doubles,Completed,33,Oldsmar,FL,"Dec 21, 2024",2024-12-21,False,False
Fore Court Pickleball Winter Classic 2024,Completed,150,Cumberland,RI,"Dec 20, 2024",2024-12-20,False,False
WSCup Series Holiday Cup 2024,Completed,92,Wheaton,IL,"Dec 20, 2024",2024-12-20,False,False
Santa Slam Pickleball Tournament,Completed,298,Farmers Branch,TX,"Dec 20, 2024",2024-12-20,True,False
2024 Penguin Pickleball Party @ West Hills Racquet & Fitness Club by PIG,Completed,223,Portland,OR,"Dec 20, 2024",2024-12-20,False,False
2024 ETC Pickleball Smash by PIG,Completed,578,Kirkland,WA,"Dec 19, 2024",2024-12-19,True,False
PPA Tour: Daytona Beach Open Presented by Roar,Completed,1413,Holly Hill,FL,"Dec 18, 2024",2024-12-18,True,True
Life Time Garden City & City Cellar Holiday Mixer,Completed,2,Garden City,NY,"Dec 15, 2024",2024-12-15,False,False
Pickleball Winter Smash at Active Pickleball & Tennis Center,Completed,55,Flushing,NY,"Dec 15, 2024",2024-12-15,False,False
1st Annual Dink for Diakonia Holiday Tournament powered by PKLN,Completed,34,Frankford,DE,"Dec 15, 2024",2024-12-15,False,False
Life Time NYC Doubles/Singles Tournament,Completed,48,NY,NY,"Dec 15, 2024",2024-12-15,False,False
Hudson River Pickleball Dec 2024 Tournament,Completed,100,Englewood,NJ,"Dec 14, 2024",2024-12-14,False,False
The Sports Haus Open (4.0 & Under),Completed,9,Norwalk,CT,"Dec 14, 2024",2024-12-14,False,False
Mr. and Mrs. Claus 2024,Completed,10,Vernon,CT,"Dec 14, 2024",2024-12-14,False,False
Seniors 50+ and 65+ Singles and Mixed Doubles Tournaments,Completed,19,Orlando,FL,"Dec 14, 2024",2024-12-14,False,False
The Capital Cup @ Dreamland Dripping Springs,Completed,155,Dripping Springs,TX,"Dec 14, 2024",2024-12-14,False,False
2024 Four Seasons Winter Blast by PIG,Completed,29,Sherman,TX,"Dec 14, 2024",2024-12-14,False,False
Life Time Frisco Winter Blast Tournament,Completed,29,Frisco,TX,"Dec 14, 2024",2024-12-14,False,False
Holiday Hustle 2024,Completed,73,St Louis Park,MN,"Dec 14, 2024",2024-12-14,False,False
Life Time Greenway Jingle Bell Showdown,Completed,55,Houston,TX,"Dec 14, 2024",2024-12-14,False,False
Life Time Men's Singles Tournament,Completed,1,Fort Worth,TX,"Dec 14, 2024",2024-12-14,False,False
