Category: All categories

Region,pickleball court: (3/12/20 - 3/12/25)
Utah,100
Arizona,48
Idaho,45
Minnesota,39
Hawaii,35
Washington,35
Florida,34
Colorado,31
Montana,30
Oregon,29
California,29
Kansas,28
New Hampshire,28
Texas,28
Nebraska,28
South Dakota,27
Iowa,27
North Carolina,27
New Jersey,27
Georgia,26
Michigan,26
Massachusetts,26
Wyoming,25
Nevada,25
Missouri,25
Wisconsin,25
Indiana,25
Connecticut,25
Vermont,25
Maine,24
Tennessee,24
Arkansas,24
South Carolina,24
North Dakota,24
Ohio,23
Delaware,23
Oklahoma,23
Virginia,23
Illinois,22
Kentucky,21
Rhode Island,21
Pennsylvania,21
New York,21
Maryland,20
District of Columbia,20
Alabama,19
New Mexico,18
Louisiana,18
Alaska,17
West Virginia,17
Mississippi,16
