Category: All categories

Region,pickleball lessons: (3/12/20 - 3/12/25)
Hawaii,100
Arizona,93
Massachusetts,81
Minnesota,75
Rhode Island,75
Colorado,75
Connecticut,75
Utah,75
Florida,75
Delaware,68
New Jersey,68
District of Columbia,62
New Hampshire,62
California,56
Illinois,56
North Carolina,56
Idaho,56
Maine,56
Nevada,56
Washington,56
Missouri,50
South Carolina,50
Oregon,50
Maryland,50
Virginia,43
Nebraska,43
Pennsylvania,43
Wisconsin,43
Georgia,43
Michigan,43
New York,43
Wyoming,37
Kentucky,37
Ohio,37
Vermont,37
Kansas,37
Indiana,37
New Mexico,31
Alaska,31
Tennessee,31
Montana,31
Texas,31
Oklahoma,25
Arkansas,25
Iowa,25
Alabama,25
Louisiana,18
North Dakota,12
West Virginia,12
Mississippi,12
South Dakota,
