Category: All categories

Region,pickleball: (3/12/20 - 3/12/25)
Utah,100
Hawaii,74
Arizona,73
Minnesota,72
Florida,65
Colorado,62
Idaho,59
South Carolina,55
Oregon,51
Connecticut,50
Vermont,50
Delaware,50
New Hampshire,49
California,49
Missouri,49
Massachusetts,48
New Jersey,48
North Carolina,48
Kansas,47
Washington,46
Nevada,45
Georgia,44
Wisconsin,44
Michigan,43
Maine,43
Texas,42
Indiana,42
Tennessee,42
Nebraska,42
Illinois,42
Rhode Island,41
Virginia,41
Iowa,41
Maryland,39
Ohio,39
District of Columbia,39
Arkansas,38
Pennsylvania,38
Kentucky,38
Alabama,36
South Dakota,36
Oklahoma,36
New York,35
Montana,34
Wyoming,33
New Mexico,31
Louisiana,30
Alaska,29
North Dakota,28
West Virginia,26
Mississippi,25
