Category: All categories

Region,pickleball near me: (3/12/20 - 3/12/25)
Utah,100
Florida,63
Minnesota,63
Arizona,62
Colorado,51
South Carolina,48
Delaware,46
Massachusetts,45
Michigan,44
New Jersey,44
Idaho,43
Hawaii,41
New Hampshire,40
Missouri,39
North Carolina,39
Illinois,39
Georgia,36
Pennsylvania,36
Rhode Island,35
California,34
Maine,34
Ohio,34
Washington,34
Kansas,34
Virginia,33
Connecticut,33
Texas,33
Nevada,33
Vermont,32
Wisconsin,30
Maryland,29
Oregon,28
Indiana,28
Alabama,28
Tennessee,27
Iowa,26
District of Columbia,26
Kentucky,26
Arkansas,24
New York,24
Nebraska,23
Oklahoma,22
New Mexico,19
Louisiana,18
North Dakota,18
Montana,18
Wyoming,17
South Dakota,15
West Virginia,15
Mississippi,15
Alaska,10
