date,interest
2020-03-08,8
2020-03-15,6
2020-03-22,3
2020-03-29,3
2020-04-05,3
2020-04-12,1
2020-04-19,3
2020-04-26,3
2020-05-03,5
2020-05-10,6
2020-05-17,5
2020-05-24,7
2020-05-31,6
2020-06-07,7
2020-06-14,8
2020-06-21,10
2020-06-28,10
2020-07-05,10
2020-07-12,11
2020-07-19,9
2020-07-26,9
2020-08-02,9
2020-08-09,11
2020-08-16,11
2020-08-23,9
2020-08-30,9
2020-09-06,12
2020-09-13,12
2020-09-20,10
2020-09-27,11
2020-10-04,10
2020-10-11,11
2020-10-18,10
2020-10-25,11
2020-11-01,8
2020-11-08,9
2020-11-15,7
2020-11-22,11
2020-11-29,9
2020-12-06,8
2020-12-13,8
2020-12-20,11
2020-12-27,14
2021-01-03,9
2021-01-10,10
2021-01-17,11
2021-01-24,9
2021-01-31,11
2021-02-07,11
2021-02-14,11
2021-02-21,13
2021-02-28,13
2021-03-07,15
2021-03-14,15
2021-03-21,15
2021-03-28,18
2021-04-04,18
2021-04-11,18
2021-04-18,18
2021-04-25,20
2021-05-02,19
2021-05-09,19
2021-05-16,21
2021-05-23,21
2021-05-30,20
2021-06-06,22
2021-06-13,20
2021-06-20,25
2021-06-27,24
2021-07-04,25
2021-07-11,25
2021-07-18,25
2021-07-25,26
2021-08-01,27
2021-08-08,25
2021-08-15,24
2021-08-22,22
2021-08-29,23
2021-09-05,28
2021-09-12,24
2021-09-19,23
2021-09-26,23
2021-10-03,22
2021-10-10,25
2021-10-17,22
2021-10-24,23
2021-10-31,26
2021-11-07,24
2021-11-14,23
2021-11-21,23
2021-11-28,20
2021-12-05,18
2021-12-12,20
2021-12-19,22
2021-12-26,27
2022-01-02,20
2022-01-09,21
2022-01-16,23
2022-01-23,22
2022-01-30,23
2022-02-06,22
2022-02-13,26
2022-02-20,30
2022-02-27,27
2022-03-06,27
2022-03-13,29
2022-03-20,28
2022-03-27,26
2022-04-03,27
2022-04-10,25
2022-04-17,28
2022-04-24,28
2022-05-01,28
2022-05-08,28
2022-05-15,27
2022-05-22,30
2022-05-29,33
2022-06-05,34
2022-06-12,35
2022-06-19,38
2022-06-26,36
2022-07-03,40
2022-07-10,38
2022-07-17,44
2022-07-24,41
2022-07-31,38
2022-08-07,50
2022-08-14,49
2022-08-21,44
2022-08-28,43
2022-09-04,47
2022-09-11,34
2022-09-18,39
2022-09-25,35
2022-10-02,38
2022-10-09,46
2022-10-16,50
2022-10-23,39
2022-10-30,36
2022-11-06,39
2022-11-13,42
2022-11-20,41
2022-11-27,35
2022-12-04,31
2022-12-11,31
2022-12-18,34
2022-12-25,58
2023-01-01,54
2023-01-08,51
2023-01-15,50
2023-01-22,45
2023-01-29,47
2023-02-05,48
2023-02-12,42
2023-02-19,50
2023-02-26,44
2023-03-05,46
2023-03-12,40
2023-03-19,48
2023-03-26,49
2023-04-02,56
2023-04-09,59
2023-04-16,55
2023-04-23,50
2023-04-30,52
2023-05-07,56
2023-05-14,59
2023-05-21,61
2023-05-28,75
2023-06-04,74
2023-06-11,77
2023-06-18,84
2023-06-25,75
2023-07-02,86
2023-07-09,78
2023-07-16,78
2023-07-23,71
2023-07-30,68
2023-08-06,78
2023-08-13,73
2023-08-20,62
2023-08-27,61
2023-09-03,67
2023-09-10,56
2023-09-17,57
2023-09-24,50
2023-10-01,46
2023-10-08,43
2023-10-15,50
2023-10-22,41
2023-10-29,46
2023-11-05,53
2023-11-12,43
2023-11-19,57
2023-11-26,38
2023-12-03,39
2023-12-10,35
2023-12-17,40
2023-12-24,64
2023-12-31,60
2024-01-07,44
2024-01-14,49
2024-01-21,41
2024-01-28,46
2024-02-04,46
2024-02-11,44
2024-02-18,51
2024-02-25,50
2024-03-03,48
2024-03-10,57
2024-03-17,53
2024-03-24,54
2024-03-31,55
2024-04-07,55
2024-04-14,59
2024-04-21,61
2024-04-28,62
2024-05-05,67
2024-05-12,68
2024-05-19,77
2024-05-26,92
2024-06-02,86
2024-06-09,87
2024-06-16,90
2024-06-23,86
2024-06-30,100
2024-07-07,87
2024-07-14,84
2024-07-21,90
2024-07-28,85
2024-08-04,85
2024-08-11,88
2024-08-18,79
2024-08-25,70
2024-09-01,84
2024-09-08,63
2024-09-15,60
2024-09-22,55
2024-09-29,54
2024-10-06,47
2024-10-13,53
2024-10-20,49
2024-10-27,45
2024-11-03,43
2024-11-10,46
2024-11-17,44
2024-11-24,51
2024-12-01,39
2024-12-08,41
2024-12-15,42
2024-12-22,68
2024-12-29,71
2025-01-05,48
2025-01-12,51
2025-01-19,50
2025-01-26,47
2025-02-02,51
2025-02-09,45
2025-02-16,53
2025-02-23,58
2025-03-02,52
2025-03-09,66
