Category: All categories

Region,pickleball tournament: (3/12/20 - 3/12/25)
Hawaii,100
Utah,86
Idaho,62
Arizona,62
Florida,53
South Carolina,48
Delaware,44
Minnesota,43
Oregon,41
Washington,39
Alabama,39
New Hampshire,37
Colorado,37
Nevada,36
Arkansas,36
Missouri,36
South Dakota,36
Maine,34
Kansas,34
California,32
Tennessee,32
Montana,32
North Carolina,32
Wyoming,31
New Mexico,31
Indiana,31
Michigan,31
Maryland,29
Wisconsin,29
Vermont,29
Georgia,29
Iowa,27
Oklahoma,27
Louisiana,25
Alaska,25
New Jersey,25
Virginia,25
Ohio,25
Pennsylvania,25
Kentucky,24
West Virginia,24
Massachusetts,24
Connecticut,24
Texas,22
Illinois,22
Nebraska,22
District of Columbia,22
Rhode Island,22
North Dakota,18
Mississippi,17
New York,13
