Category: All categories

Region,ppa tour: (3/12/20 - 3/12/25)
Utah,100
Hawaii,64
Idaho,57
Arizona,50
Kansas,42
Nevada,35
Florida,28
North Carolina,28
Washington,28
Colorado,21
South Carolina,21
District of Columbia,21
Minnesota,21
California,21
Texas,21
Montana,21
Georgia,21
South Dakota,21
New Hampshire,21
Missouri,21
Tennessee,21
Oklahoma,14
Virginia,14
Maryland,14
Alabama,14
Arkansas,14
Kentucky,14
Wisconsin,14
Indiana,14
Oregon,14
Iowa,14
Pennsylvania,14
Illinois,14
West Virginia,14
Ohio,14
New Jersey,14
Nebraska,14
Maine,14
Michigan,14
Massachusetts,14
Connecticut,7
New Mexico,7
New York,7
Louisiana,7
Mississippi,7
Alaska,
Vermont,
Rhode Island,
North Dakota,
Delaware,
Wyoming,
