date,interest
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,0
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,0
2020-08-02,0
2020-08-09,0
2020-08-16,0
2020-08-23,0
2020-08-30,0
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,14
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,11
2022-01-30,11
2022-02-06,10
2022-02-13,12
2022-02-20,10
2022-02-27,9
2022-03-06,0
2022-03-13,9
2022-03-20,0
2022-03-27,0
2022-04-03,0
2022-04-10,8
2022-04-17,9
2022-04-24,0
2022-05-01,8
2022-05-08,8
2022-05-15,10
2022-05-22,11
2022-05-29,0
2022-06-05,11
2022-06-12,12
2022-06-19,0
2022-06-26,0
2022-07-03,0
2022-07-10,0
2022-07-17,0
2022-07-24,0
2022-07-31,0
2022-08-07,19
2022-08-14,20
2022-08-21,10
2022-08-28,9
2022-09-04,16
2022-09-11,18
2022-09-18,10
2022-09-25,12
2022-10-02,17
2022-10-09,26
2022-10-16,16
2022-10-23,11
2022-10-30,10
2022-11-06,10
2022-11-13,14
2022-11-20,9
2022-11-27,18
2022-12-04,11
2022-12-11,8
2022-12-18,10
2022-12-25,11
2023-01-01,0
2023-01-08,25
2023-01-15,20
2023-01-22,10
2023-01-29,11
2023-02-05,24
2023-02-12,23
2023-02-19,31
2023-02-26,16
2023-03-05,24
2023-03-12,28
2023-03-19,26
2023-03-26,0
2023-04-02,25
2023-04-09,14
2023-04-16,26
2023-04-23,26
2023-04-30,27
2023-05-07,40
2023-05-14,44
2023-05-21,23
2023-05-28,43
2023-06-04,65
2023-06-11,43
2023-06-18,25
2023-06-25,18
2023-07-02,27
2023-07-09,41
2023-07-16,38
2023-07-23,60
2023-07-30,87
2023-08-06,79
2023-08-13,57
2023-08-20,66
2023-08-27,52
2023-09-03,52
2023-09-10,44
2023-09-17,17
2023-09-24,14
2023-10-01,44
2023-10-08,39
2023-10-15,21
2023-10-22,20
2023-10-29,20
2023-11-05,50
2023-11-12,42
2023-11-19,23
2023-11-26,30
2023-12-03,30
2023-12-10,21
2023-12-17,10
2023-12-24,17
2023-12-31,14
2024-01-07,76
2024-01-14,43
2024-01-21,31
2024-01-28,47
2024-02-04,57
2024-02-11,29
2024-02-18,85
2024-02-25,68
2024-03-03,56
2024-03-10,70
2024-03-17,69
2024-03-24,29
2024-03-31,75
2024-04-07,66
2024-04-14,81
2024-04-21,88
2024-04-28,49
2024-05-05,34
2024-05-12,59
2024-05-19,48
2024-05-26,57
2024-06-02,87
2024-06-09,53
2024-06-16,32
2024-06-23,72
2024-06-30,61
2024-07-07,29
2024-07-14,50
2024-07-21,32
2024-07-28,22
2024-08-04,41
2024-08-11,85
2024-08-18,77
2024-08-25,82
2024-09-01,44
2024-09-08,68
2024-09-15,51
2024-09-22,27
2024-09-29,65
2024-10-06,58
2024-10-13,32
2024-10-20,26
2024-10-27,26
2024-11-03,60
2024-11-10,65
2024-11-17,38
2024-11-24,23
2024-12-01,57
2024-12-08,59
2024-12-15,40
2024-12-22,36
2024-12-29,32
2025-01-05,70
2025-01-12,67
2025-01-19,30
2025-01-26,56
2025-02-02,77
2025-02-09,49
2025-02-16,87
2025-02-23,84
2025-03-02,82
2025-03-09,100
