State,City,Locations,Courts
Alabama,Huntsville,19,68
Alabama,Birmingham,18,63
Alabama,Mobile,15,60
Alabama,Trussville,9,41
Alabama,Vestavia Hills,6,36
Alabama,Decatur,6,17
Alabama,Opelika,6,32
Alabama,Hoover,6,30
Alabama,Alabaster,5,19
Alabama,Athens,5,30
Alabama,Foley,5,19
Alabama,Dothan,5,19
Alabama,Enterprise,5,28
Alabama,Spanish Fort,4,13
Alabama,Oxford,4,26
Alabama,Florence,4,28
Alabama,Tuscaloosa,4,12
Alabama,Fairhope,4,16
Alabama,Gulf Shores,4,21
Alabama,Madison,4,34
Alabama,Montgomery,3,5
Alabama,Pelham,3,15
Alabama,Auburn,3,20
Alabama,Mountain Brook,3,5
Alabama,Jasper,3,26
Alabama,Homewood,3,11
Alabama,Orange Beach,2,8
Alabama,Pinson,2,34
Alabama,Millbrook,2,24
Alabama,Helena,2,5
Alabama,Pell City,2,12
Alabama,Ozark,2,12
Alabama,Northport,2,0
Alabama,Albertville,2,15
Alabama,Jacksonville,2,4
Alabama,Prattville,2,21
Alabama,Gardendale,2,13
Alabama,Anniston,2,4
Alabama,Cullman,2,6
Alabama,Guntersville,2,9
Alabama,Moulton,1,3
Alabama,Hazel Green,1,2
Alabama,Piedmont,1,2
Alabama,Calera,1,3
Alabama,Dauphin Island,1,2
Alabama,Lillian,1,4
Alabama,Rainbow City,1,2
Alabama,Headland,1,2
Alabama,Rainsville,1,6
Alabama,Bay Minette,1,3
Alabama,Irvington,1,3
Alabama,Hartselle,1,2
Alabama,Chelsea,1,3
Alabama,Lincoln,1,2
Alabama,Boaz,1,16
Alabama,Waterloo,1,2
Alabama,Oneonta,1,3
Alabama,Opp,1,2
Alabama,Langston,1,1
Alabama,Theodore,1,2
Alabama,Rogersville,1,3
Alabama,Bonnie Doone,1,1
Alabama,Odenville,1,3
Alabama,Ardmore,1,2
Alabama,Muscle Shoals,1,6
Alabama,Chatom,1,2
Alabama,Brewton,1,2
Alabama,Toney,1,3
Alabama,Elberta,1,3
Alabama,Satsuma,1,2
Alabama,Bessemer,1,2
Alabama,Talladega,1,3
Alabama,Harpersville,1,3
Alabama,Wetumpka,1,6
Alabama,Killen,1,3
Alabama,Gadsden,1,0
Alabama,Eastaboga,1,1
Alabama,Owens Cross Roads,1,3
Alabama,New Market,1,3
Alabama,Eufaula,1,5
Alabama,Daphne,1,12
Alabama,Meridianville,1,0
Alabama,East Brewton,1,4
Alabama,Henagar,1,2
Alabama,Ashford,1,4
Alabama,Clanton,1,2
Alabama,Scottsboro,1,4
Alabama,Dadeville,1,4
Alabama,Centre,1,6
Alabama,Arley,1,2
Alaska,Anchorage,23,97
Alaska,Fairbanks,3,16
Alaska,Homer,3,9
Alaska,Kenai,2,5
Alaska,Kodiak,2,4
Alaska,Sitka,2,3
Alaska,Wasilla,2,3
Alaska,Craig,1,2
Alaska,Ketchikan,1,6
Alaska,Klawock,1,2
Alaska,Metlakatla,1,2
Alaska,Palmer,1,8
Alaska,Skagway,1,0
Alaska,Soldotna,1,3
Alaska,Sterling,1,2
Alaska,Valdez,1,3
Alaska,Willow,1,8
Arizona,Phoenix,35,158
Arizona,Mesa,33,258
Arizona,Tucson,31,224
Arizona,Scottsdale,28,139
Arizona,Apache Junction,11,39
Arizona,Peoria,11,48
Arizona,Yuma,11,58
Arizona,Chandler,10,61
Arizona,Gilbert,10,65
Arizona,Tempe,10,51
Arizona,Flagstaff,9,40
Arizona,Goodyear,9,68
Arizona,Prescott,9,61
Arizona,Sahuarita,9,60
Arizona,Casa Grande,8,71
Arizona,Surprise,8,91
Arizona,Glendale,7,51
Arizona,Green Valley,7,48
Arizona,Buckeye,6,57
Arizona,Oro Valley,6,39
Arizona,Sedona,6,24
Arizona,Bullhead City,5,21
Arizona,Gold Canyon,5,24
Arizona,Lake Havasu City,5,30
Arizona,Maricopa,5,25
Arizona,Avondale,4,14
Arizona,Florence,4,30
Arizona,Sun City West,4,40
Arizona,Camp Verde,3,8
Arizona,Fountain Hills,3,12
Arizona,Marana,3,9
Arizona,Paradise Valley,3,24
Arizona,Prescott Valley,3,16
Arizona,Queen Creek,3,36
Arizona,Rio Verde,3,18
Arizona,Sun City,3,39
Arizona,United States,3,3
Arizona,Anthem,2,12
Arizona,Benson,2,2
Arizona,Cherry,2,4
Arizona,Cottonwood,2,16
Arizona,Eloy,2,18
Arizona,New River,2,20
Arizona,Pinetop-Lakeside,2,5
Arizona,Show Low,2,8
Arizona,Sierra Vista,2,11
Arizona,Sun Lakes,2,14
Arizona,Vail,2,10
Arizona,Wellton,2,8
Arizona,Wickenburg,2,16
Arizona,Ajo,1,2
Arizona,Arivaca,1,3
Arizona,Arrowhead Ranch,1,2
Arizona,Bisbee,1,2
Arizona,Chino Valley,1,4
Arizona,Clarkdale,1,1
Arizona,Congress,1,1
Arizona,Douglas,1,4
Arizona,El Mirage,1,26
Arizona,Happy Jack,1,3
Arizona,Hondah,1,8
Arizona,Kayenta,1,0
Arizona,Kingman,1,4
Arizona,Las Villas,1,6
Arizona,Laveen,1,2
Arizona,Liberty,1,8
Arizona,Litchfield,1,0
Arizona,Litchfield Park,1,3
Arizona,Miami,1,3
Arizona,Munds Park,1,8
Arizona,Nogales,1,2
Arizona,Oracle,1,24
Arizona,Page,1,4
Arizona,Parker,1,2
Arizona,Payson,1,6
Arizona,Pinnacle Peak Heights IV,1,4
Arizona,Quartzsite,1,2
Arizona,Safford,1,1
Arizona,Salome,1,2
Arizona,San Lucy Village,1,2
Arizona,Snowflake,1,2
Arizona,Thatcher,1,1
Arizona,Tolleson,1,2
Arizona,Tubac,1,4
Arizona,Villa Novena,1,4
Arizona,Williams,1,2
Arizona,Window Rock,1,1
Arkansas,Little Rock,7,33
Arkansas,Fayetteville,6,18
Arkansas,Mountain Home,5,14
Arkansas,Rogers,5,24
Arkansas,Bentonville,4,35
Arkansas,Hot Springs,4,20
Arkansas,Bella Vista,3,11
Arkansas,Fort Smith,3,24
Arkansas,Hot Springs Village,3,20
Arkansas,Jonesboro,3,12
Arkansas,North Little Rock,3,17
Arkansas,Sherwood,3,12
Arkansas,Siloam Springs,3,12
Arkansas,Springdale,3,14
Arkansas,Van Buren,3,8
Arkansas,Arkadelphia,2,9
Arkansas,Benton,2,10
Arkansas,Conway,2,4
Arkansas,Danville,2,7
Arkansas,Dardanelle,2,6
Arkansas,Eureka Springs,2,5
Arkansas,Greenbrier,2,9
Arkansas,Greenwood,2,6
Arkansas,Lowell,2,14
Arkansas,Mena,2,4
Arkansas,Paragould,2,4
Arkansas,Plainview,2,4
Arkansas,Russellville,2,4
Arkansas,Alma,1,2
Arkansas,Arkansas City,1,0
Arkansas,Batesville,1,13
Arkansas,Beebe,1,4
Arkansas,Bee Branch,1,1
Arkansas,Bryant,1,5
Arkansas,Cabot,1,3
Arkansas,Cherokee Village,1,3
Arkansas,Clarksville,1,3
Arkansas,Cotter,1,1
Arkansas,El Dorado,1,10
Arkansas,Fairfield Bay,1,12
Arkansas,Farmington,1,4
Arkansas,Harrison,1,2
Arkansas,Heber Springs,1,8
Arkansas,Kensett,1,3
Arkansas,Magnolia,1,3
Arkansas,Marshall,1,3
Arkansas,Maumelle,1,3
Arkansas,Morrilton,1,4
Arkansas,Mount Holly,1,2
Arkansas,Mulberry,1,2
Arkansas,Newark,1,2
Arkansas,Oak Grove,1,3
Arkansas,Ozark,1,2
Arkansas,Pearcy,1,2
Arkansas,Pocahontas,1,3
Arkansas,Quitman,1,1
Arkansas,Searcy,1,8
Arkansas,Tontitown,1,3
Arkansas,Walnut Ridge,1,0
California,San Diego,57,250
California,Sacramento,36,119
California,Los Angeles,34,123
California,San Francisco,25,103
California,Palm Desert,19,197
California,San Jose,19,80
California,Elk Grove,13,39
California,Roseville,13,79
California,Irvine,11,38
California,Long Beach,11,57
California,Menifee,11,36
California,Chula Vista,9,28
California,Escondido,9,38
California,Riverside,9,31
California,Santa Clarita,9,60
California,Thousand Oaks,9,43
California,Pasadena,8,27
California,San Clemente,8,35
California,Santa Ana,8,33
California,Santa Rosa,8,36
California,Anaheim,7,26
California,Auburn,7,26
California,Desert Hot Springs,7,34
California,Fremont,7,40
California,Fresno,7,46
California,Huntington Beach,7,52
California,Lake Forest,7,38
California,Oakland,7,19
California,San Rafael,7,39
California,Temecula,7,42
California,Tustin,7,42
California,Yucaipa,7,29
California,Alameda,6,36
California,Bakersfield,6,38
California,Carlsbad,6,22
California,Dayton Avenue,6,20
California,Encinitas,6,60
California,Folsom,6,54
California,Fontana,6,17
California,Indio,6,35
California,La Quinta,6,56
California,Monterey,6,26
California,Rancho Mirage,6,66
California,Santa Monica,6,50
California,Torrance,6,33
California,United States,6,29
California,Yorba Linda,6,21
California,Burlingame,5,20
California,Camarillo,5,14
California,Davis,5,18
California,Goleta,5,16
California,Hemet,5,22
California,Laguna Niguel,5,30
California,Los Alamitos,5,13
California,Milpitas,5,16
California,Newport Beach,5,55
California,Redwood City,5,14
California,Rocklin,5,12
California,Saratoga,5,11
California,South San Francisco,5,18
California,Stockton,5,29
California,Apple Valley,4,12
California,Arcata,4,13
California,Banning,4,20
California,Berkeley,4,11
California,Borrego Springs,4,20
California,Burbank,4,19
California,Carmichael,4,14
California,Cerritos,4,31
California,Corona,4,20
California,Discovery Bay,4,20
California,El Centro,4,11
California,Glendale,4,23
California,Glendora,4,12
California,Grass Valley,4,22
California,Healdsburg,4,9
California,Los Banos,4,19
California,Mammoth Lakes,4,13
California,Napa,4,15
California,Oceanside,4,32
California,Richmond,4,22
California,San Marcos,4,19
California,San Ramon,4,17
California,Santa Barbara,4,25
California,Tehachapi,4,14
California,Vacaville,4,22
California,Victorville,4,10
California,Vista,4,39
California,Walnut Creek,4,25
California,Arcadia,3,22
California,Atascadero,3,13
California,Belmont,3,5
California,Benicia,3,5
California,Buena Park,3,8
California,Carmel Highlands,3,10
California,Chino,3,6
California,Citrus Heights,3,18
California,Coronado,3,26
California,Costa Mesa,3,9
California,Culver City,3,9
California,Cypress,3,19
California,Daly City,3,12
California,Danville,3,14
California,Diamond Bar,3,12
California,El Cajon,3,7
California,El Dorado Hills,3,10
California,Eureka,3,20
California,Fairfield,3,32
California,Fair Oaks,3,11
California,Fallbrook,3,13
California,Gardena,3,41
California,Garden Grove,3,7
California,Hayward,3,10
California,La Ca̱ada Flintridge,3,6
California,Laguna Beach,3,11
California,La Mesa,3,16
California,Livermore,3,18
California,Los Altos,3,18
California,Los Gatos,3,11
California,Manhattan Beach,3,17
California,Marina del Rey,3,10
California,Martinez,3,19
California,Merced,3,14
California,Mill Valley,3,10
California,Mission Viejo,3,18
